Unnamed: 0,job_title,job_type,experience_level,location,salary_currency,salary,salary_normalized,PCA_Component_1,PCA_Component_2
0,Data scientist,Full Time,Senior,New York City,USD,149000,0.6010101010101011,0.5177457360638936,-0.11899720913216034
2,Data scientist,Full Time,Senior,Boston,USD,120000,0.4545454545454546,0.5035775273383726,-0.08741743409449239
3,Data scientist,Full Time,Senior,London,USD,68000,0.1919191919191919,0.4559473981078824,-0.12264472963321797
4,Data scientist,Full Time,Senior,Boston,USD,120000,0.4545454545454546,0.5035775273383726,-0.08741743409449221
5,Data scientist,Full Time,Senior,New York City,USD,149000,0.6010101010101011,0.517745736063893,-0.11899720913215926
6,Data scientist,Full Time,Senior,London,USD,68000,0.1919191919191919,0.4559473981078824,-0.12264472963321797
7,Data scientist,Full Time,Senior,Research Triangle Park,USD,69000,0.196969696969697,0.4662971417634058,-0.057913925954960734
8,Data scientist,Full Time,Senior,Sydney,USD,68000,0.1919191919191919,0.4636477880285021,-0.06390034089420689
9,Data scientist,Full Time,Senior,San Francisco,USD,140000,0.5555555555555556,0.547107634779035,-0.11126796362151156
10,Data scientist,Full Time,Senior,Sofia,USD,68000,0.1919191919191919,0.4648078424440665,-0.05130450760107233
12,Data scientist,Full Time,Entry,BangPa-in,USD,35000,0.02525252525252525,-0.43282166413133394,1.019386481098091
15,Data scientist,Full Time,Senior,Berlin,USD,68000,0.1919191919191919,0.4726935729515432,-0.07059213156915957
17,Data scientist,Full Time,Senior,NAMER,USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226929
18,Data scientist,Full Time,Senior,Remote,USD,68000,0.1919191919191919,0.4845779165518837,-0.08524326804272142
20,Data scientist,Full Time,Senior,San Jose,USD,68000,0.1919191919191919,0.4718115765145264,-0.0577209343300691
22,Data scientist,Full Time,Senior,Petaling Jaya,USD,55000,0.12626262626262627,0.45784058666533917,-0.04986525470378934
23,Data scientist,Full Time,Senior,Englewood,USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226957
24,Data scientist,Full Time,Senior,Pune,USD,68000,0.1919191919191919,0.46571746031014344,-0.05960936110795494
25,Data scientist,Full Time,Senior,London,USD,68000,0.1919191919191919,0.4559473981078824,-0.12264472963321797
26,Data scientist,Full Time,Mid,Remote,USD,40000,0.0505050505050505,-0.9130731684002338,-0.3077330673992565
27,Data scientist,Full Time,Entry,Paris,USD,36000,0.030303030303030304,-0.46412368515426655,1.081315512372105
28,Data scientist,Internship,Entry,Paris,USD,36000,0.030303030303030304,-0.5030366050971348,1.309858076259887
30,Data scientist,Full Time,Mid,Gothenburg,USD,40000,0.0505050505050505,-0.9359932434215574,-0.2808230497261459
31,Data scientist,Internship,Entry,Mountain View,USD,56000,0.1313131313131313,-0.4606541373259124,1.2575029965022626
32,Data scientist,Full Time,Executive,San Francisco,USD,130000,0.5050505050505051,-0.2226900519869526,0.18845783454600284
34,Data scientist,Full Time,Senior,San Jose,USD,68000,0.1919191919191919,0.4718115765145264,-0.0577209343300691
35,Data scientist,Full Time,Senior,Porto,USD,56000,0.1313131313131313,0.4584129725279684,-0.04692601324241759
36,Data scientist,Internship,Entry,Mountain View,USD,56000,0.1313131313131313,-0.4606541373259124,1.2575029965022626
37,Data scientist,Full Time,Senior,Ontario,USD,68000,0.1919191919191919,0.4657594997289736,-0.05734391319836802
38,Data scientist,Full Time,Senior,Brooklyn,USD,104000,0.3737373737373738,0.49253021216104453,-0.08721871664245678
40,Data scientist,Full Time,Mid,Sydney,USD,62000,0.16161616161616163,-0.9223552980294858,-0.2984307847869904
41,Data scientist,Full Time,Senior,Remote- US,USD,150000,0.6060606060606061,0.5128002498479988,-0.10471432230457263
42,Data scientist,Full Time,Senior,Cambridge,USD,68000,0.1919191919191919,0.46468783882656006,-0.06173030847744083
44,Data scientist,Full Time,Mid,La Libertad,USD,40000,0.0505050505050505,-0.9401261904433083,-0.2842049639945227
45,Data scientist,Full Time,Senior,San Francisco,USD,161000,0.6616161616161617,0.5582261791779773,-0.12276130613338501
47,Data scientist,Full Time,Senior,London,USD,68000,0.1919191919191919,0.4559473981078824,-0.12264472963321797
48,Data scientist,Full Time,Senior,Lithuania | UK,USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226961
50,Data scientist,Full Time,Senior,Chicago,USD,68000,0.1919191919191919,0.46781883137254754,-0.05924575581250599
51,Data scientist,Full Time,Senior,Remote,USD,68000,0.1919191919191919,0.4845779165518837,-0.08524326804272142
52,Data scientist,Full Time,Senior,Remote- US,USD,150000,0.6060606060606061,0.5128002498479988,-0.10471432230457263
53,Data scientist,Full Time,Mid,United Kingdom - Remote,USD,40000,0.0505050505050505,-0.9442959024499449,-0.28766852179118846
55,Data scientist,Full Time,Senior,Santiago,USD,68000,0.1919191919191919,0.46061936218968874,-0.06038838631347133
57,Data scientist,Full Time,Senior,Nairobi,USD,68000,0.1919191919191919,0.4626812254025843,-0.05868878154789678
60,Data scientist,Full Time,Mid,Luxembourg,USD,40000,0.0505050505050505,-0.9359932434215574,-0.2808230497261456
61,Data scientist,Full Time,Senior,San Francisco OR Remote US Canada,USD,68000,0.1919191919191919,0.46473866701563576,-0.0570221095422697
62,Data scientist,Full Time,Senior,Paris,USD,68000,0.1919191919191919,0.43093306160163514,0.01176037847371688
63,Data scientist,Full Time,Mid,Lyon,USD,40000,0.0505050505050505,-0.9420722414761755,-0.2720397241397947
64,Data scientist,Full Time,Senior,Montreal,USD,56000,0.1313131313131313,0.46361248096570945,-0.04618579009295478
65,Data scientist,Full Time,Senior,Remote,USD,68000,0.1919191919191919,0.4845779165518837,-0.08524326804272142
66,Data scientist,Full Time,Entry,Princeton,USD,74000,0.22222222222222224,-0.4121274230804451,0.9979159165826504
67,Data scientist,Full Time,Mid,California,USD,40000,0.0505050505050505,-0.9359932434215574,-0.2808230497261456
68,Data scientist,Full Time,Senior,Athens,USD,68000,0.1919191919191919,0.4533397856455403,-0.06794327339563455
69,Data scientist,Internship,Senior,London,USD,56000,0.1313131313131313,0.4106810242227614,0.11246545854706318
70,Data scientist,Full Time,Entry,Charenton-Le-Pont,USD,36000,0.030303030303030304,-0.4312745684383363,1.0185515137417838
72,Data scientist,Full Time,Senior,San Francisco,USD,68000,0.1919191919191919,0.508986911125519,-0.0718622178665166
73,Data scientist,Full Time,Senior,Aberdeen,USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226981
75,Data scientist,Full Time,Mid,Brampton,USD,40000,0.0505050505050505,-0.9591818290475911,-0.3004922847002394
78,Data scientist,Full Time,Senior,Salt Lake City,USD,68000,0.1919191919191919,0.4657653479712912,-0.05736013514997823
79,Data scientist,Full Time,Mid,Munich,USD,40000,0.0505050505050505,-0.9382237758674788,-0.28721354197327154
80,Data scientist,Full Time,Mid,Oslo,USD,40000,0.0505050505050505,-0.9400076657435597,-0.27033549839753135
81,Data scientist,Full Time,Senior,Basel,USD,68000,0.1919191919191919,0.46884570822612504,-0.05832272107220896
82,Data scientist,Full Time,Mid,Düsseldorf,USD,40000,0.0505050505050505,-0.939125058312636,-0.2845357995969376
83,Data scientist,Full Time,Entry,Paris,USD,36000,0.030303030303030304,-0.46412368515426655,1.081315512372105
84,Data scientist,Full Time,Senior,Madrid,EUR,36000,0.030303030303030304,0.45286692349348173,-0.03479569635328324
85,Data scientist,Full Time,Mid,Austin,USD,40000,0.0505050505050505,-0.9380168697743507,-0.276764996778932
86,Data scientist,Full Time,Mid,Dallas,USD,40000,0.0505050505050505,-0.9402506063712508,-0.2892132465356773
88,Data scientist,Full Time,Senior,Warsaw,USD,120000,0.4545454545454546,0.48298308604346296,-0.09745637464762985
89,Data scientist,Full Time,Mid,Houston,USD,40000,0.0505050505050505,-0.9432135082630831,-0.27977154462831044
90,Data scientist,Full Time,Senior,Hyderabad,USD,68000,0.1919191919191919,0.4663682985979298,-0.05478112750440113
92,Data scientist,Full Time,Senior,Sofia,USD,68000,0.1919191919191919,0.4648078424440665,-0.05130450760107233
93,Data scientist,Full Time,Senior,Boston,USD,110000,0.4040404040404041,0.4982829823864953,-0.08194441385074293
94,Data scientist,Full Time,Senior,Paris,USD,68000,0.1919191919191919,0.43093306160163514,0.01176037847371688
95,Data scientist,Full Time,Senior,Zurich,USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226942
96,Data scientist,Full Time,Senior,London,USD,68000,0.1919191919191919,0.4559473981078824,-0.12264472963321797
97,Data scientist,Full Time,Senior,London,USD,68000,0.1919191919191919,0.4559473981078824,-0.12264472963321797
98,Data scientist,Full Time,Senior,New York City,USD,81000,0.25757575757575757,0.48174283039112753,-0.08178067147466409
99,Data scientist,Full Time,Entry,Palaiseau,USD,36000,0.030303030303030304,-0.43229104256592654,1.0188359538028222
100,Data scientist,Full Time,Entry,Burnaby,USD,36000,0.030303030303030304,-0.43324604160742675,1.0248755848320956
102,Data scientist,Full Time,Senior,Lisbon,USD,68000,0.1919191919191919,0.4667483956774377,-0.05995136714715381
103,Data scientist,Full Time,Senior,Tel Aviv-Yafo,USD,68000,0.1919191919191919,0.46679657517020395,-0.05770219228768154
104,Data scientist,Full Time,Mid,United Kingdom - Remote,USD,40000,0.0505050505050505,-0.9442959024499449,-0.28766852179118846
105,Data scientist,Full Time,Senior,United States,USD,152000,0.6161616161616162,0.531253198627899,-0.10968831348274677
106,Data scientist,Full Time,Mid,Toronto,USD,40000,0.0505050505050505,-0.9334254958457419,-0.2808018707483521
107,Data scientist,Full Time,Senior,Indianapolis,USD,68000,0.1919191919191919,0.46781710596555637,-0.05800567039285048
109,Data scientist,Full Time,Mid,Athens,USD,51000,0.10606060606060605,-0.9384872998595118,-0.2964533950202938
111,Data scientist,Full Time,Mid,New York City,USD,40000,0.0505050505050505,-0.9227911629984306,-0.297155544514325
112,Data scientist,Full Time,Senior,New York,USD,95000,0.3282828282828283,0.48341532591248365,-0.07386950588820793
113,Data scientist,Full Time,Senior,London,USD,68000,0.1919191919191919,0.4559473981078824,-0.12264472963321797
115,Data scientist,Full Time,Mid,Dayton,USD,40000,0.0505050505050505,-0.9380610000090216,-0.28248776096048495
116,Data scientist,Full Time,Senior,Seoul,USD,68000,0.1919191919191919,0.4700168456432373,-0.04661100301657535
117,Data scientist,Full Time,Entry,Glasgow,USD,36000,0.030303030303030304,-0.43229104256592654,1.0188359538028229
118,Data scientist,Full Time,Mid,Emeryville,USD,135000,0.5303030303030304,-0.8915146720300571,-0.3390199574763981
120,Data scientist,Full Time,Entry,Massy - France,USD,36000,0.030303030303030304,-0.4332460416074269,1.0248755848320732
121,Data scientist,Full Time,Senior,San Francisco,USD,68000,0.1919191919191919,0.508986911125519,-0.0718622178665166
123,Data scientist,Full Time,Mid,Paris,EUR,50000,0.10101010101010102,-0.9614234783986048,-0.21620244112656747
125,Data scientist,Full Time,Senior,Belo Horizonte,USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226954
127,Data scientist,Full Time,Senior,Oakville,USD,68000,0.1919191919191919,0.4667965751702045,-0.057702192288095595
130,Data scientist,Full Time,Senior,Midrand,USD,68000,0.1919191919191919,0.46473866701563576,-0.057022109542269536
131,Data scientist,Full Time,Mid,Roppongi,USD,40000,0.0505050505050505,-0.9525046437611308,-0.28096416462199914
132,Data scientist,Full Time,Senior,Solna,USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226942
133,Data scientist,Full Time,Senior,Santa Clara,USD,68000,0.1919191919191919,0.47124810551042695,-0.04503792145394382
134,Data scientist,Full Time,Mid,Emeryville,USD,120000,0.4545454545454546,-0.8994564894578728,-0.3308104271107741
137,Data scientist,Full Time,Senior,Boston,USD,68000,0.1919191919191919,0.4760458935886109,-0.05895772882699587
139,Data scientist,Full Time,Entry,Calabasas,USD,120000,0.4545454545454546,-0.3885753630697866,0.9783571572105189
141,Data scientist,Full Time,Senior,Bangkok,USD,68000,0.1919191919191919,0.4754618529356147,-0.08031820796110802
142,Data scientist,Full Time,Senior,London,USD,68000,0.1919191919191919,0.4559473981078824,-0.12264472963321797
143,Data scientist,Full Time,Mid,Ahmedabad,USD,40000,0.0505050505050505,-0.938057491063631,-0.2824974941314945
144,Data scientist,Full Time,Senior,Lisbon,USD,68000,0.1919191919191919,0.4667483956774377,-0.05995136714715381
145,Data scientist,Full Time,Entry,Roppongi,USD,56000,0.1313131313131313,-0.43932121566116067,1.0001347281454247
146,Data scientist,Full Time,Senior,Remote,USD,68000,0.1919191919191919,0.4845779165518837,-0.08524326804272142
147,Data scientist,Full Time,Senior,Brooklyn,USD,196000,0.8383838383838385,0.5412400257183152,-0.13757050288495035
148,Data scientist,Full Time,Senior,Dallas,USD,68000,0.1919191919191919,0.4574004785808664,-0.0667234471791423
149,Data scientist,Full Time,Senior,New York City,USD,125000,0.4797979797979799,0.5050388281793874,-0.10586196054716103
150,Data scientist,Full Time,Entry,Lisboa,USD,36000,0.030303030303030304,-0.4322910425659266,1.0188359538028227
151,Data scientist,Full Time,Senior,Markham,USD,68000,0.1919191919191919,0.4626812254025843,-0.058688781547912405
152,Data scientist,Full Time,Senior,Athina,USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226958
153,Data scientist,Full Time,Mid,London,USD,40000,0.0505050505050505,-0.9417036868442352,-0.345134528989753
154,Data scientist,Full Time,Mid,Berlin,USD,40000,0.0505050505050505,-0.9249575120005742,-0.29308193092569473
155,Data scientist,Full Time,Senior,Chicago,USD,68000,0.1919191919191919,0.46781883137254754,-0.05924575581250599
156,Data scientist,Full Time,Entry,Norfolk,USD,36000,0.030303030303030304,-0.4312687201960188,1.0185352917902095
157,Data scientist,Full Time,Senior,Boston,USD,68000,0.1919191919191919,0.4760458935886109,-0.05895772882699587
158,Data scientist,Full Time,Senior,Remote (DC),USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226898
159,Data scientist,Full Time,Senior,Bengaluru,USD,68000,0.1919191919191919,0.4592213570014138,-0.08587518941766636
160,Data scientist,Full Time,Senior,Tel Aviv-Yafo,USD,68000,0.1919191919191919,0.46679657517020395,-0.05770219228768154
161,Data scientist,Full Time,Mid,Houston,USD,40000,0.0505050505050505,-0.9432135082630831,-0.27977154462831044
162,Data scientist,Full Time,Senior,Seattle,USD,68000,0.1919191919191919,0.47003772752199907,-0.04888783776210768
163,Data scientist,Full Time,Senior,Norfolk,USD,68000,0.1919191919191919,0.463788026559883,-0.05101984210817843
164,Data scientist,Full Time,Senior,Belfast,USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226932
165,Data scientist,Full Time,Senior,Toronto,USD,68000,0.1919191919191919,0.4642255891063755,-0.0583120713918171
166,Data scientist,Full Time,Mid,Toronto,USD,40000,0.0505050505050505,-0.9334254958457419,-0.2808018707483521
167,Data scientist,Full Time,Senior,Remote - United States,USD,68000,0.1919191919191919,0.47211680236057507,-0.059744676755311366
168,Data scientist,Full Time,Entry,Toronto,USD,36000,0.030303030303030304,-0.4308311576495262,1.0112430625065707
169,Data scientist,Full Time,Senior,Tampa,USD,68000,0.1919191919191919,0.4656735349549718,-0.055989119353066046
170,Data scientist,Full Time,Senior,Berlin,USD,68000,0.1919191919191919,0.4726935729515432,-0.07059213156915957
171,Data scientist,Full Time,Mid,Düsseldorf,USD,40000,0.0505050505050505,-0.939125058312636,-0.2845357995969376
172,Data scientist,Full Time,Senior,Düsseldorf,USD,68000,0.1919191919191919,0.4585260266394814,-0.06204600024040254
174,Data scientist,Full Time,Entry,Amsterdam,USD,36000,0.030303030303030304,-0.42600462487084273,1.0167394904671865
175,Data scientist,Full Time,Senior,Amsterdam,USD,68000,0.1919191919191919,0.46905212188505924,-0.052815643431201445
177,Data scientist,Full Time,Mid,Munich,USD,40000,0.0505050505050505,-0.9382237758674788,-0.28721354197327154
178,Data scientist,Full Time,Mid,Lyon,USD,51000,0.10606060606060605,-0.9362482420291105,-0.27806004640791887
179,Data scientist,Full Time,Senior,Basel,USD,68000,0.1919191919191919,0.46884570822612504,-0.05832272107220896
180,Data scientist,Full Time,Mid,Oslo,USD,40000,0.0505050505050505,-0.9400076657435597,-0.27033549839753135
181,Data scientist,Full Time,Senior,Longueuil,USD,68000,0.1919191919191919,0.4657653479712911,-0.057360135149924725
182,Data scientist,Full Time,Senior,Glattbrugg,USD,56000,0.1313131313131313,0.4583712082307469,-0.05041578199905726
183,Data scientist,Full Time,Senior,New York City,USD,70000,0.20202020202020202,0.4759188309440625,-0.07576034920653986
184,Data scientist,Full Time,Senior,Atlanta,USD,120000,0.4545454545454546,0.4996721433191438,-0.08827166283217713
185,Data scientist,Full Time,Senior,Toronto,USD,68000,0.1919191919191919,0.46422558910637596,-0.05831207139181709
186,Data scientist,Full Time,Mid,Barcelona,USD,40000,0.0505050505050505,-0.9453738760468946,-0.27190647728482326
187,Data scientist,Full Time,Mid,London,USD,51000,0.10606060606060605,-0.93587968739717,-0.3511548512578773
188,Data scientist,Full Time,Senior,Madrid,EUR,36000,0.030303030303030304,0.45286692349348173,-0.03479569635328324
189,Data scientist,Full Time,Mid,Abu Dhabi,USD,51000,0.10606060606060605,-0.9332599394908524,-0.29067103797690974
190,Data scientist,Full Time,Mid,Berlin,USD,40000,0.0505050505050505,-0.9249575120005742,-0.29308193092569473
191,Data scientist,Full Time,Senior,Fort Bragg,USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226926
192,Data scientist,Full Time,Senior,Remote - US,USD,68000,0.1919191919191919,0.4657653479712911,-0.0573601351499628
193,Data scientist,Full Time,Senior,San Francisco,USD,129000,0.5,0.5412836353319701,-0.10524764135338732
194,Data scientist,Full Time,Mid,Singapore,USD,51000,0.10606060606060605,-0.9319898375093356,-0.27638407946933774
195,Data scientist,Full Time,Senior,Toronto,USD,68000,0.1919191919191919,0.4642255891063755,-0.0583120713918171
197,Data scientist,Full Time,Senior,Berlin,USD,120000,0.4545454545454546,0.5002252067013048,-0.09905183683665589
198,Data scientist,Full Time,Mid,London,USD,40000,0.0505050505050505,-0.9417036868442352,-0.345134528989753
199,Data scientist,Full Time,Mid,Brampton,USD,40000,0.0505050505050505,-0.9591818290475911,-0.3004922847002394
200,Data scientist,Full Time,Senior,UK,USD,68000,0.1919191919191919,0.46575949972897357,-0.05734391319840258
201,Data scientist,Full Time,Senior,Aarhus,USD,68000,0.1919191919191919,0.46679657517020384,-0.057702192287908495
203,Data scientist,Full Time,Senior,Canada,USD,68000,0.1919191919191919,0.46881273957011144,-0.05823023334177094
205,Data scientist,Full Time,Mid,Remote,USD,115000,0.4292929292929293,-0.8733640812611542,-0.3487807192273763
206,Data scientist,Full Time,Senior,Berlin,USD,120000,0.4545454545454546,0.5002252067013048,-0.09905183683665589
207,Data scientist,Full Time,Senior,Redwood City,USD,68000,0.1919191919191919,0.46473866701563576,-0.05702210954226934
208,Data scientist,Full Time,Senior,Berlin,USD,68000,0.1919191919191919,0.4726935729515432,-0.07059213156915957
209,Data scientist,Full Time,Mid,Paris,USD,40000,0.0505050505050505,-0.9667180233504822,-0.21072942088281818
210,Data scientist,Full Time,Entry,Burnaby,USD,36000,0.030303030303030304,-0.43324604160742675,1.0248755848320956
212,Data scientist,Full Time,Senior,Remote - United States,USD,56000,0.1313131313131313,0.4657633484183224,-0.053177052462812215
213,Data scientist,Full Time,Senior,Remote - US,USD,68000,0.1919191919191919,0.4657653479712911,-0.0573601351499628
215,Data scientist,Full Time,Senior,India,USD,68000,0.1919191919191919,0.4677607136802173,-0.05784807114498597
216,Data scientist,Full Time,Senior,Remote,USD,68000,0.1919191919191919,0.4845779165518837,-0.08524326804272142
217,Data scientist,Full Time,Senior,Heredia,USD,68000,0.1919191919191919,0.4638402133842564,-0.04515980687466249
218,Data scientist,Full Time,Senior,Jealott's Hill,USD,68000,0.1919191919191919,0.46678250831271356,-0.057663027432911795
219,Data scientist,Full Time,Mid,Mountain View,USD,90000,0.3030303030303031,-0.9084519207236283,-0.2795035613716902
220,Data scientist,Full Time,Senior,Miami - will also consider remote in …,USD,68000,0.1919191919191919,0.4657594997289736,-0.0573439131983045
221,Data scientist,Full Time,Senior,Porto,USD,68000,0.1919191919191919,0.4647664264702209,-0.053493637534916726
222,Data scientist,Full Time,Senior,Tel Aviv,USD,68000,0.1919191919191919,0.4677818607872173,-0.057907170866246846
223,Data scientist,Full Time,Mid,West Jakarta,USD,40000,0.0505050505050505,-0.9359932434215574,-0.28082304972614536
224,Data scientist,Internship,Entry,Paris,USD,36000,0.030303030303030304,-0.5030366050971348,1.309858076259887
225,Data scientist,Full Time,Entry,Montreal,USD,36000,0.030303030303030304,-0.42509081184793973,1.0168017195129337
226,Data scientist,Full Time,Mid,Berlin,EUR,58000,0.1414141414141414,-0.9154273310871952,-0.3029333673644433
228,Data scientist,Internship,Mid,United States - Remote,USD,62000,0.16161616161616163,-0.9757654189510258,-0.07242062380820095
231,Data scientist,Full Time,Senior,Toronto,USD,68000,0.1919191919191919,0.4642255891063755,-0.0583120713918171
233,Data scientist,Full Time,Senior,Remote,USD,132000,0.5151515151515152,0.5184630042438982,-0.12027059760271691
234,Data scientist,Full Time,Entry,North Reading,USD,56000,0.1313131313131313,-0.42167861125777834,1.0078254078974684
236,Data scientist,Full Time,Senior,London,USD,68000,0.1919191919191919,0.4559473981078824,-0.12264472963321797
237,Data scientist,Full Time,Entry,Sunnyvale,USD,36000,0.030303030303030304,-0.4282376125761396,1.025084218493754
238,Data scientist,Full Time,Senior,London,USD,68000,0.1919191919191919,0.4559473981078824,-0.12264472963321797
239,Data scientist,Full Time,Mid,Dallas,USD,40000,0.0505050505050505,-0.9402506063712508,-0.2892132465356773
240,Data scientist,Full Time,Senior,Boston,USD,68000,0.1919191919191919,0.4760458935886109,-0.05895772882699587
241,Data scientist,Full Time,Mid,Suitland-Silver Hill,USD,51000,0.10606060606060605,-0.9322112682957592,-0.28857945981570715
242,Data scientist,Full Time,Entry,Paris,USD,36000,0.030303030303030304,-0.46412368515426655,1.081315512372105
243,Data scientist,Full Time,Senior,Chicago,USD,68000,0.1919191919191919,0.46781883137254754,-0.05924575581250599
244,Data scientist,Full Time,Senior,London,USD,68000,0.1919191919191919,0.4559473981078824,-0.12264472963321797
245,Data scientist,Full Time,Senior,Hamburg,USD,68000,0.1919191919191919,0.46487174596789915,-0.04543236020051496
